Location,Price,Type,No_Beds,No_Baths,Area,Latitude,Longitude,Region,Sub_region
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3825000,Apartment,2,2,850,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"Block E, Banasree, Dhaka",7650000,Apartment,3,2,1300,23.76354,90.4318,Banasree,Block E
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",6300000,Apartment,3,2,1050,23.75047,90.36678,Dhanmondi,West Dhanmondi and Shangkar
"Sector 10, Uttara, Dhaka",9345000,Apartment,3,3,1350,23.86846,90.3928,Uttara,Sector 10
"Greenway Road, Maghbazar, Dhaka",14000000,Apartment,3,4,2052,23.75156,90.40872,Maghbazar,Greenway Road
"Sher-E-Bangla Road, Hazaribag, Dhaka",5970000,Apartment,3,3,1194,23.73494,90.36859,Hazaribag,Sher-E-Bangla Road
"Sher-E-Bangla Road, Hazaribag, Dhaka",5860000,Apartment,3,3,1172,23.73494,90.36859,Hazaribag,Sher-E-Bangla Road
"Section 15, Mirpur, Dhaka",8700000,Apartment,3,4,1553,23.81223,90.35967,Mirpur,Section 15
"East Rampura, Rampura, Dhaka",6160000,Apartment,3,3,1120,23.76036,90.41909,Rampura,East Rampura
"Faydabad, Dakshin Khan, Dhaka",2600000,Apartment,2,2,600,23.85159,90.4151,DakshinKhan,Faydabad
"East Bashabo, Bashabo, Dhaka",6172000,Apartment,3,2,960,23.7405,90.43472,Bashabo,East Bashabo
"Free School Street, Kathalbagan, Dhaka",8500000,Apartment,3,3,1278,23.74817,90.38665,Kathalbagan,Free School Street
"New Eskaton Road, Eskaton, Dhaka",15000000,Apartment,3,3,1895,23.74751,90.40013,Eskaton,New Eskaton Road
"Middle Paikpara, Mirpur, Dhaka",4000000,Apartment,3,2,1000,23.79193,90.35733,Mirpur,Middle Paikpara
"South Badda, Badda, Dhaka",8000000,Apartment,3,3,1400,23.81501,90.43623,Badda,South Badda
"Kallyanpur, Mirpur, Dhaka",6300000,Apartment,3,3,1213,23.81467,90.37306,Mirpur,Kallyanpur
"Mohammadi Housing LTD., Mohammadpur, Dhaka",8400000,Apartment,3,3,1350,23.76427,90.36547,Mohammadpur,Mohammadi Housing LTD.
"Block D, Aftab Nagar, Dhaka",7650000,Apartment,3,3,1350,23.81709,90.43238,AftabNagar,Block D
"Middle Paikpara, Mirpur, Dhaka",5700000,Apartment,3,3,1150,23.79193,90.35733,Mirpur,Middle Paikpara
"Boro Maghbazar, Maghbazar, Dhaka",12142400,Apartment,3,3,1386,23.7526,90.4026,Maghbazar,Boro Maghbazar
"Sector 7, Uttara, Dhaka",22171200,Apartment,3,3,2104,23.86846,90.3928,Uttara,Sector 7
"Manda, Mugdapara, Dhaka",2000000,Apartment,2,1,425,23.72813,90.42969,Mugdapara,Manda
"Faydabad, Dakshin Khan, Dhaka",2600000,Apartment,2,2,600,23.85159,90.4151,DakshinKhan,Faydabad
"Shamibag, Sutrapur, Dhaka",3600000,Apartment,2,2,628,23.70311,90.42015,Sutrapur,Shamibag
"Road No 8A, Dhanmondi, Dhaka",26500000,Apartment,3,4,2060,23.76629,90.41775,Dhanmondi,Road No 8A
"Gopibag, Motijheel, Dhaka",4500000,Apartment,2,2,800,23.72558,90.42179,Motijheel,Gopibag
"Pirerbag, Mirpur, Dhaka",3200000,Apartment,3,2,1150,23.81223,90.35967,Mirpur,Pirerbag
"Darussalam, Mirpur, Dhaka",7500000,Apartment,3,3,1345,23.7792,90.35374,Mirpur,Darussalam
"Adarsha Nagar, Badda, Dhaka",5344000,Apartment,3,3,1336,23.81501,90.43623,Badda,Adarsha Nagar
"Faydabad, Dakshin Khan, Dhaka",4775000,Apartment,3,2,1125,23.85159,90.4151,DakshinKhan,Faydabad
"Uttar Badda, Badda, Dhaka",5700000,Apartment,3,2,1000,23.81501,90.43623,Badda,Uttar Badda
"Pearl Street, Shyamoli, Dhaka",11360000,Apartment,3,3,1480,23.7747,90.36196,Shyamoli,Pearl Street
"Mohammadi Housing LTD., Mohammadpur, Dhaka",6700000,Apartment,3,3,1020,23.76427,90.36547,Mohammadpur,Mohammadi Housing LTD.
"Manda Road, Mugdapara, Dhaka",6704800,Apartment,3,3,1251,23.72813,90.42969,Mugdapara,Manda Road
"Purana Paltan, Motijheel, Dhaka",8500000,Apartment,3,3,1320,23.73053,90.41117,Motijheel,Purana Paltan
"Block A, Bashundhara R-A, Dhaka",22000000,Apartment,4,4,2440,23.75669,90.37316,BashundharaR-A,Block A
"Middle Badda, Badda, Dhaka",5150000,Apartment,3,2,1030,23.77753,90.4259,Badda,Middle Badda
"West Rampura, Rampura, Dhaka",5800000,Apartment,3,2,1000,23.76748,90.42231,Rampura,West Rampura
"West Shewrapara, Mirpur, Dhaka",8950000,Apartment,3,3,1500,23.81223,90.35967,Mirpur,West Shewrapara
"Road No 14A, Dhanmondi, Dhaka",10350000,Apartment,2,3,1250,23.76629,90.41775,Dhanmondi,Road No 14A
"Ashkona, Dakshin Khan, Dhaka",7020000,Apartment,3,3,1350,23.85159,90.4151,DakshinKhan,Ashkona
"Block D, Aftab Nagar, Dhaka",8500000,Apartment,3,3,1370,23.81709,90.43238,AftabNagar,Block D
"Shekhertek, Mohammadpur, Dhaka",6000000,Apartment,3,3,1200,23.76427,90.36547,Mohammadpur,Shekhertek
"Shantinagar Road, Shantinagar, Dhaka",12200000,Apartment,3,4,1495,23.74071,90.41285,Shantinagar,Shantinagar Road
"Section 11, Mirpur, Dhaka",7500000,Apartment,3,3,1220,23.81223,90.35967,Mirpur,Section 11
"Block C, Bashundhara R-A, Dhaka",11501000,Apartment,3,4,1643,23.75596,90.37065,BashundharaR-A,Block C
"Block E, Bashundhara R-A, Dhaka",12000000,Apartment,3,3,1500,23.66803,90.43935,BashundharaR-A,Block E
"East Bashabo, Bashabo, Dhaka",6913000,Apartment,3,3,1210,23.7405,90.43472,Bashabo,East Bashabo
"Pirerbag, Mirpur, Dhaka",3500000,Apartment,3,2,950,23.81223,90.35967,Mirpur,Pirerbag
"West Shewrapara, Mirpur, Dhaka",4500000,Apartment,3,2,950,23.81223,90.35967,Mirpur,West Shewrapara
"Bochila, Mohammadpur, Dhaka",3456000,Apartment,3,2,960,23.76427,90.36547,Mohammadpur,Bochila
"Section 1, Mirpur, Dhaka",5725000,Apartment,2,2,950,23.81223,90.35967,Mirpur,Section 1
"Gajanabi Road, Mohammadpur, Dhaka",23500000,Apartment,3,4,2172,23.76744,90.36699,Mohammadpur,Gajanabi Road
"Bank Colony, Savar, Dhaka",6000000,Apartment,3,3,1521,23.84152,90.24643,Savar,Bank Colony
"Ahmed Nagar, Mirpur, Dhaka",6500000,Apartment,3,3,1300,23.81223,90.35967,Mirpur,Ahmed Nagar
"Doniya, Shyampur, Dhaka",3300000,Apartment,3,2,1100,23.68094,90.43935,Shyampur,Doniya
"West Kazipara, Mirpur, Dhaka",4500000,Apartment,2,2,1066,23.80091,90.37135,Mirpur,West Kazipara
"Block A, Bashundhara R-A, Dhaka",17000000,Apartment,3,4,1860,23.75669,90.37316,BashundharaR-A,Block A
"Gulshan 2, Gulshan, Dhaka",55000000,Apartment,4,3,3106,23.79059,90.42566,Gulshan,Gulshan 2
"Ashkona, Dakshin Khan, Dhaka",7020000,Apartment,3,3,1350,23.85159,90.4151,DakshinKhan,Ashkona
"Pirerbag, Mirpur, Dhaka",5500000,Apartment,3,2,1175,23.81223,90.35967,Mirpur,Pirerbag
